labels,att1,att2,att3,att4,att5,att6,att7,att8,att9
anomaly,51.0,23.0,77.0,0.0,28.0,0.0,26.0,48.0,22.0
anomaly,42.0,23.0,77.0,0.0,28.0,0.0,34.0,48.0,14.0
anomaly,50.0,23.0,77.0,0.0,-22.0,0.0,27.0,101.0,74.0
anomaly,42.0,22.0,77.0,0.0,28.0,0.0,35.0,48.0,14.0
anomaly,49.0,31.0,77.0,0.0,-22.0,0.0,28.0,101.0,72.0
anomaly,48.0,45.0,77.0,0.0,-22.0,0.0,29.0,101.0,72.0
anomaly,50.0,22.0,77.0,0.0,28.0,0.0,26.0,48.0,22.0
anomaly,42.0,23.0,77.0,0.0,28.0,0.0,35.0,48.0,14.0
anomaly,57.0,92.0,80.0,0.0,34.0,0.0,23.0,46.0,24.0
anomaly,44.0,27.0,77.0,0.0,28.0,0.0,33.0,48.0,16.0
anomaly,49.0,22.0,79.0,0.0,42.0,0.0,30.0,37.0,8.0
anomaly,64.0,78.0,82.0,0.0,-42.0,-6.0,18.0,126.0,108.0
anomaly,47.0,22.0,79.0,0.0,42.0,0.0,31.0,37.0,6.0
nominal,49.0,1.0,78.0,0.0,46.0,-6.0,29.0,32.0,2.0
nominal,53.0,3.0,86.0,-1.0,52.0,-12.0,33.0,34.0,2.0
nominal,56.0,4.0,77.0,0.0,16.0,-3.0,22.0,62.0,40.0
nominal,50.0,-1.0,107.0,0.0,50.0,0.0,56.0,58.0,2.0
nominal,55.0,-1.0,98.0,0.0,50.0,-21.0,42.0,49.0,6.0
nominal,43.0,0.0,84.0,0.0,44.0,26.0,41.0,40.0,0.0
nominal,37.0,0.0,97.0,0.0,28.0,-14.0,60.0,69.0,8.0
nominal,41.0,0.0,106.0,0.0,42.0,16.0,64.0,64.0,0.0
nominal,41.0,0.0,81.0,0.0,38.0,-24.0,40.0,43.0,2.0
nominal,37.0,0.0,77.0,0.0,26.0,-7.0,40.0,51.0,10.0
nominal,51.0,5.0,81.0,0.0,50.0,-12.0,29.0,32.0,2.0
nominal,51.0,4.0,83.0,0.0,52.0,7.0,31.0,31.0,0.0
nominal,55.0,0.0,92.0,0.0,30.0,-6.0,37.0,61.0,24.0
nominal,61.0,-1.0,111.0,0.0,60.0,-19.0,50.0,52.0,2.0
nominal,37.0,0.0,86.0,-3.0,36.0,0.0,49.0,50.0,0.0
nominal,46.0,1.0,86.0,3.0,46.0,0.0,40.0,39.0,0.0
nominal,37.0,0.0,77.0,0.0,10.0,4.0,40.0,66.0,26.0
nominal,106.0,-1.0,108.0,0.0,72.0,3.0,1.0,35.0,34.0
nominal,47.0,-5.0,90.0,0.0,46.0,0.0,43.0,43.0,0.0
nominal,55.0,0.0,92.0,0.0,36.0,-5.0,37.0,56.0,20.0
nominal,55.0,2.0,84.0,0.0,54.0,0.0,30.0,30.0,0.0
nominal,39.0,-6.0,91.0,0.0,6.0,21.0,52.0,86.0,34.0
nominal,56.0,0.0,96.0,6.0,52.0,0.0,40.0,44.0,4.0
nominal,37.0,0.0,77.0,0.0,26.0,0.0,40.0,51.0,10.0
nominal,37.0,0.0,83.0,5.0,0.0,0.0,47.0,83.0,36.0
nominal,79.0,5.0,83.0,1.0,-40.0,9.0,4.0,125.0,120.0
nominal,37.0,0.0,83.0,-7.0,18.0,0.0,47.0,65.0,18.0
nominal,37.0,0.0,79.0,0.0,34.0,-4.0,41.0,45.0,4.0
nominal,41.0,0.0,80.0,-6.0,42.0,0.0,39.0,39.0,0.0
nominal,55.0,0.0,79.0,0.0,54.0,-3.0,24.0,25.0,2.0
nominal,55.0,0.0,78.0,0.0,16.0,-22.0,23.0,63.0,40.0
nominal,51.0,0.0,83.0,1.0,52.0,5.0,31.0,31.0,0.0
nominal,48.0,0.0,78.0,0.0,50.0,22.0,30.0,29.0,0.0
nominal,44.0,1.0,81.0,0.0,44.0,13.0,37.0,37.0,0.0
nominal,55.0,0.0,88.0,-1.0,54.0,0.0,34.0,34.0,0.0
nominal,56.0,0.0,77.0,1.0,-6.0,0.0,21.0,85.0,64.0
nominal,85.0,0.0,88.0,-1.0,0.0,0.0,3.0,88.0,84.0
nominal,46.0,0.0,107.0,0.0,46.0,0.0,61.0,60.0,0.0
nominal,44.0,-4.0,87.0,0.0,44.0,0.0,43.0,43.0,0.0
nominal,56.0,0.0,97.0,1.0,50.0,-7.0,41.0,48.0,6.0
nominal,37.0,0.0,95.0,0.0,12.0,-16.0,58.0,82.0,24.0
nominal,43.0,-2.0,76.0,-1.0,42.0,-8.0,32.0,34.0,2.0
nominal,37.0,0.0,76.0,-7.0,20.0,0.0,39.0,55.0,16.0
nominal,41.0,0.0,79.0,-1.0,38.0,-16.0,38.0,40.0,2.0
nominal,43.0,0.0,85.0,-1.0,42.0,-8.0,42.0,44.0,2.0
nominal,45.0,0.0,86.0,7.0,44.0,-3.0,41.0,42.0,2.0
nominal,49.0,0.0,77.0,0.0,50.0,25.0,28.0,28.0,0.0
nominal,102.0,-1.0,103.0,0.0,72.0,23.0,1.0,31.0,30.0
nominal,105.0,-4.0,107.0,-2.0,70.0,0.0,2.0,37.0,34.0
