labels,att1,att2,att3,att4,att5,att6,att7,att8,att9
anomaly,51.0,23.0,77.0,0.0,28.0,0.0,26.0,48.0,22.0
anomaly,42.0,23.0,77.0,0.0,28.0,0.0,34.0,48.0,14.0
anomaly,50.0,23.0,77.0,0.0,-22.0,0.0,27.0,101.0,74.0
anomaly,42.0,22.0,77.0,0.0,28.0,0.0,35.0,48.0,14.0
anomaly,49.0,31.0,77.0,0.0,-22.0,0.0,28.0,101.0,72.0
anomaly,48.0,45.0,77.0,0.0,-22.0,0.0,29.0,101.0,72.0
anomaly,50.0,22.0,77.0,0.0,28.0,0.0,26.0,48.0,22.0
anomaly,42.0,23.0,77.0,0.0,28.0,0.0,35.0,48.0,14.0
anomaly,57.0,92.0,80.0,0.0,34.0,0.0,23.0,46.0,24.0
anomaly,44.0,27.0,77.0,0.0,28.0,0.0,33.0,48.0,16.0
anomaly,49.0,22.0,79.0,0.0,42.0,0.0,30.0,37.0,8.0
anomaly,64.0,78.0,82.0,0.0,-42.0,-6.0,18.0,126.0,108.0
anomaly,47.0,22.0,79.0,0.0,42.0,0.0,31.0,37.0,6.0
nominal,42.0,1.0,88.0,0.0,42.0,0.0,46.0,46.0,0.0
nominal,56.0,0.0,90.0,0.0,54.0,-18.0,34.0,35.0,2.0
nominal,45.0,0.0,89.0,1.0,44.0,0.0,44.0,45.0,0.0
nominal,46.0,2.0,88.0,0.0,46.0,2.0,42.0,41.0,0.0
nominal,43.0,-5.0,79.0,0.0,42.0,0.0,36.0,37.0,2.0
nominal,56.0,0.0,97.0,4.0,52.0,25.0,41.0,45.0,4.0
nominal,43.0,0.0,81.0,-3.0,44.0,19.0,37.0,37.0,0.0
nominal,54.0,0.0,88.0,-7.0,54.0,0.0,35.0,34.0,0.0
nominal,39.0,-1.0,76.0,0.0,38.0,0.0,36.0,37.0,0.0
nominal,37.0,0.0,77.0,0.0,38.0,22.0,40.0,39.0,0.0
nominal,40.0,1.0,88.0,0.0,38.0,0.0,47.0,49.0,2.0
nominal,45.0,1.0,86.0,0.0,44.0,-4.0,41.0,42.0,2.0
nominal,55.0,-1.0,91.0,0.0,54.0,-7.0,35.0,37.0,2.0
nominal,44.0,-2.0,87.0,2.0,44.0,0.0,43.0,43.0,0.0
nominal,41.0,0.0,83.0,0.0,38.0,-6.0,42.0,44.0,2.0
nominal,56.0,0.0,82.0,6.0,-12.0,-3.0,26.0,95.0,68.0
nominal,37.0,0.0,77.0,0.0,28.0,-17.0,40.0,48.0,8.0
nominal,41.0,0.0,82.0,-1.0,38.0,0.0,41.0,43.0,2.0
nominal,56.0,0.0,79.0,7.0,0.0,0.0,23.0,79.0,56.0
nominal,55.0,-1.0,91.0,-2.0,-4.0,1.0,35.0,96.0,60.0
nominal,49.0,2.0,86.0,0.0,50.0,23.0,38.0,37.0,0.0
nominal,41.0,0.0,87.0,0.0,42.0,21.0,46.0,46.0,0.0
nominal,55.0,0.0,95.0,-1.0,52.0,-18.0,40.0,44.0,4.0
nominal,51.0,0.0,80.0,0.0,52.0,24.0,29.0,28.0,0.0
nominal,42.0,-1.0,87.0,0.0,42.0,0.0,45.0,46.0,0.0
nominal,66.0,0.0,109.0,0.0,64.0,-23.0,43.0,45.0,2.0
nominal,56.0,0.0,78.0,0.0,10.0,-6.0,22.0,68.0,46.0
nominal,81.0,-3.0,85.0,0.0,-40.0,4.0,4.0,126.0,122.0
nominal,37.0,0.0,81.0,-3.0,36.0,-11.0,43.0,44.0,2.0
nominal,56.0,0.0,78.0,0.0,12.0,-13.0,22.0,65.0,42.0
nominal,37.0,0.0,94.0,0.0,10.0,-23.0,57.0,84.0,26.0
nominal,37.0,0.0,77.0,0.0,8.0,5.0,40.0,69.0,28.0
nominal,50.0,-3.0,86.0,0.0,50.0,0.0,37.0,37.0,0.0
nominal,42.0,5.0,81.0,0.0,42.0,0.0,39.0,39.0,0.0
nominal,56.0,0.0,107.0,0.0,54.0,-15.0,51.0,53.0,2.0
nominal,86.0,3.0,89.0,0.0,2.0,0.0,3.0,86.0,84.0
nominal,44.0,3.0,86.0,-3.0,44.0,0.0,42.0,42.0,0.0
nominal,37.0,0.0,77.0,7.0,36.0,3.0,40.0,41.0,0.0
nominal,43.0,0.0,77.0,-5.0,42.0,-4.0,34.0,35.0,2.0
nominal,53.0,0.0,109.0,5.0,54.0,28.0,56.0,55.0,0.0
nominal,52.0,-1.0,87.0,-6.0,52.0,0.0,35.0,35.0,0.0
nominal,49.0,0.0,107.0,0.0,50.0,16.0,58.0,58.0,0.0
nominal,46.0,5.0,88.0,0.0,46.0,14.0,42.0,41.0,0.0
nominal,38.0,5.0,77.0,0.0,38.0,0.0,39.0,39.0,0.0
nominal,41.0,0.0,83.0,0.0,42.0,6.0,42.0,42.0,0.0
nominal,41.0,0.0,88.0,-2.0,38.0,-45.0,48.0,50.0,2.0
nominal,37.0,0.0,77.0,0.0,-4.0,-3.0,41.0,83.0,42.0
nominal,55.0,0.0,95.0,-1.0,42.0,-15.0,40.0,54.0,14.0
nominal,43.0,0.0,80.0,-1.0,44.0,10.0,37.0,36.0,0.0
